frame,keypoint,x,y
28,1,834,305
28,2,793,305
28,3,751,446
28,4,793,540
28,5,918,305
28,6,918,422
28,7,876,516
28,8,793,493
28,9,793,610
28,11,876,493
28,12,876,586
28,13,876,633
29,0,918,234
29,1,834,305
29,2,793,305
29,3,751,446
29,4,793,516
29,5,918,305
29,6,918,422
29,7,876,516
29,8,793,493
29,9,793,610
29,11,876,493
29,12,918,586
30,0,876,234
30,1,834,305
30,2,793,328
30,3,751,446
30,4,793,516
30,5,918,305
30,6,918,422
30,7,876,516
30,8,793,469
30,9,793,610
30,11,876,469
30,12,876,586
31,0,918,258
31,1,834,328
31,2,793,328
31,3,751,446
31,4,793,516
31,5,918,328
31,6,918,422
31,7,876,516
31,8,793,493
31,9,793,633
31,11,876,493
32,0,918,234
32,1,834,328
32,2,793,305
32,3,751,446
32,4,793,516
32,5,918,328
32,6,918,422
32,7,876,516
32,8,793,493
32,9,793,633
32,11,876,493
33,0,876,234
33,1,834,328
33,2,793,328
33,3,751,422
33,4,793,516
33,5,918,328
33,6,918,422
33,7,918,516
33,8,793,493
33,9,793,633
33,11,876,493
33,12,918,610
34,0,876,234
34,1,834,328
34,2,793,328
34,3,751,446
34,4,793,516
34,5,918,328
34,6,918,446
34,7,876,516
34,8,793,516
34,9,793,633
34,11,876,516
34,12,918,610
34,13,918,704
35,0,918,258
35,1,876,328
35,2,793,328
35,3,751,422
35,4,793,516
35,5,918,328
35,6,918,422
35,7,918,516
35,8,793,493
35,9,793,633
35,10,709,774
35,11,876,493
35,12,918,610
35,13,918,704
36,0,918,258
36,1,876,328
36,2,793,328
36,3,751,446
36,4,793,516
36,5,918,328
36,6,918,422
36,7,918,516
36,8,793,493
36,9,793,633
36,11,876,493
36,12,918,610
37,0,918,258
37,1,876,328
37,2,793,328
37,3,751,446
37,4,793,516
37,5,918,328
37,6,918,446
37,7,918,516
37,8,793,516
37,9,793,633
37,11,876,516
38,0,918,258
38,1,876,328
38,2,793,328
38,3,751,446
38,4,793,516
38,5,918,328
38,6,918,446
38,7,918,516
38,8,793,516
38,9,793,633
38,10,751,751
38,11,876,516
38,12,918,633
39,0,918,258
39,1,876,328
39,2,793,328
39,3,751,446
39,4,793,516
39,5,918,328
39,6,918,446
39,7,918,516
39,8,834,516
39,9,793,633
39,10,751,774
39,11,918,516
39,12,918,633
40,0,918,258
40,1,876,328
40,2,793,328
40,3,751,446
40,4,793,516
40,5,918,328
40,6,918,446
40,7,918,516
40,8,834,516
40,9,793,633
40,10,751,774
40,11,918,516
40,12,918,610
41,0,918,258
41,1,876,328
41,2,793,328
41,3,751,446
41,4,793,516
41,5,918,328
41,6,918,446
41,7,918,516
41,8,834,516
41,9,793,633
41,10,751,774
41,11,918,516
41,12,918,610
42,0,918,234
42,1,876,328
42,2,793,328
42,3,751,446
42,4,793,516
42,5,918,328
42,6,918,446
42,7,918,516
42,8,834,516
42,9,793,633
42,10,751,798
42,11,918,516
42,12,918,633
42,13,918,845
43,0,918,234
43,1,876,328
43,2,793,328
43,3,751,446
43,4,793,540
43,5,918,328
43,6,918,446
43,7,918,540
43,8,793,516
43,9,793,633
43,10,751,798
43,11,876,516
43,12,918,657
44,0,918,258
44,1,876,328
44,2,793,328
44,3,793,446
44,4,793,540
44,5,918,328
44,6,918,446
44,7,918,540
44,8,793,516
44,9,793,657
44,10,751,798
44,11,876,516
44,12,918,633
45,0,918,258
